model,sentence,true_label,pred_label,error_categories,primary_category
Finistral-7B-LoRA,"Merger Monday roars back — LVMH buys Tiffany, Charles Schwab buys TD Ameritrade",neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,IFA Irish Farmers Association : EU COMMISSION INDICATE THAT CAP TRANSITIONAL RULES FACILITATE THE REOPENING OF GLAS… https://t.co/mcHUiy15CH,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,NYSE Closing Bell 🔔:     Telecom Argentina (NYSE: TEO) celebrates their 25th Anniversary Listing https://t.co/EemF9wG8iW,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,Companies Like Juggernaut Exploration (CVE:JUGR) Can Be Considered Quite Risky,negative,neutral,entity_confusion,entity_confusion
Finistral-7B-LoRA,Hedge Funds Had Impeccable Timing Buying Myovant Sciences Ltd. (MYOV),neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,Hedge Funds Love These 3 Peers Way More Than China Petroleum & Chemical Corp (SNP),neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,Here's What We Like About DCC plc (LON:DCC)'s Upcoming Dividend,neutral,positive,entity_confusion,entity_confusion
Finistral-7B-LoRA,"JUST IN: Slack shares halted for pending news.

https://t.co/jn8limUSe7",negative,neutral,entity_confusion,entity_confusion
Finistral-7B-LoRA,Yields head lower despite strong economic numbers,neutral,negative,mixed_sentiment,mixed_sentiment
Finistral-7B-LoRA,Mandiri Warns of Risk to Loan Growth From Virus Outbreak,neutral,negative,mixed_sentiment,mixed_sentiment
Finistral-7B-LoRA,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,positive,negative,negation;mixed_sentiment,negation
Finistral-7B-LoRA,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,neutral,negative,negation;numeric_guidance;entity_confusion,negation
Finistral-7B-LoRA,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,neutral,negative,negation;numeric_guidance;entity_confusion,negation
Finistral-7B-LoRA,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative,neutral,negation;numeric_guidance,negation
Finistral-7B-LoRA,"No, The Fed Won't ""Save The Market"" - Here's Why  https://t.co/Ibq99qWSFz",negative,neutral,negation;sarcasm_irony,negation
Finistral-7B-LoRA,"Two weeks later, no change, Fed ain't stopping the selling",neutral,negative,negation,negation
Finistral-7B-LoRA,Fiat Chrysler Relies on Ram Growth as Europe Losses Mount,negative,neutral,negation;mixed_sentiment,negation
Finistral-7B-LoRA,Activision Blizzard’s Revenue To See Double-Digit Decline In 2019?,neutral,negative,negation;numeric_guidance;sarcasm_irony,negation
Finistral-7B-LoRA,Maruti Suzuki Says India Not Ready For EVs As Peers Take The Plunge,neutral,negative,negation,negation
Finistral-7B-LoRA,"MMTC To Import 6,090 Tonne Onion To Boost Supply, Cut Prices",neutral,positive,negation;numeric_guidance,negation
Finistral-7B-LoRA,"PG&E to cut power to 150,000 customer for fire risk",neutral,negative,negation;numeric_guidance,negation
Finistral-7B-LoRA,T-Mobile moves not enough to address concerns - New York AG,neutral,negative,negation,negation
Finistral-7B-LoRA,UAE says Emirates pilots did not monitor settings in 2016 crash,neutral,negative,negation;numeric_guidance,negation
Finistral-7B-LoRA,"VF : to Draw Down $1 Billion From Credit Facility, Cuts CEO's Pay by 50% #VF #Stock #MarketScreener… https://t.co/ZWMiFpYcfy",neutral,negative,negation;numeric_guidance;entity_confusion,negation
Finistral-7B-LoRA,Was Five Star Senior Living Inc.'s (NASDAQ:FVE) Earnings Decline Part Of A Broader Industry Downturn?,negative,neutral,negation;entity_confusion,negation
Finistral-7B-LoRA,"Largest coal plant in the West shuts down, dealing financial losses to Native American tribes",negative,positive,negation,negation
Finistral-7B-LoRA,"The U.S. cut its oil output forecast by more than 1 million barrels a day, days before OPEC and other producers mee… https://t.co/1ileJAr6cD",negative,positive,negation;numeric_guidance,negation
Finistral-7B-LoRA,Russia Asks for Time as OPEC+ Technocrats Recommend Oil Cut,neutral,positive,negation,negation
Finistral-7B-LoRA,$USO $XLE $OIL - No oil market fix from today's G-20 meeting https://t.co/la6aPsRBh6,neutral,negative,negation;numeric_guidance;entity_confusion,negation
Finistral-7B-LoRA,December bump in oil prices not enough to salvage energy earnings #Samp;P500 #economy #MarketScreener… https://t.co/oi6a3rLykt,neutral,negative,negation,negation
Finistral-7B-LoRA,Oil - Low Refinery Throughput Does Not Appear To Be A Structural Issue Just Yet. Follow this and any other stock on… https://t.co/kmQg86qyXL,neutral,positive,negation,negation
Finistral-7B-LoRA,EUR/USD Failure of 1-2-3 Pattern Might be Bullish,positive,neutral,negation;numeric_guidance;conditional_hedge;entity_confusion,negation
Finistral-7B-LoRA,"""Cash is trash? No, cash is king! Especially when the discounts come along on high-quality stocks.""... https://t.co/7D0mmjE7xl",neutral,positive,negation;sarcasm_irony,negation
Finistral-7B-LoRA,"""CO2 emissions aren't reducing, they are in fact increasing,"" @GretaThunberg says at #COP25. ""We have achieved noth… https://t.co/EP3atEwq2M",neutral,negative,negation;sarcasm_irony,negation
Finistral-7B-LoRA,"""I find this worship no different from the regular worship at a church so I am delighted.""

A church in South Korea… https://t.co/MnibZjnsFJ",neutral,positive,negation;sarcasm_irony,negation
Finistral-7B-LoRA,$PBF - PBF Energy: A Mexican Billionaire Can't Get Enough Of This New Jersey Refiner. https://t.co/ouNSD0zChc #markets #finance #trading,neutral,positive,negation;numeric_guidance,negation
Finistral-7B-LoRA,Expense report fraud opening the door to bigger financial losses,neutral,negative,negation,negation
Finistral-7B-LoRA,'I can't afford that': Woman in student loan limbo since 1997 decries a muddy system,neutral,negative,negation;numeric_guidance,negation
Finistral-7B-LoRA,It doesn't pay to be a stock picker anymore. https://t.co/amkOz3dTxj https://t.co/6e50u9TPuU,neutral,negative,negation,negation
Finistral-7B-LoRA,"No Insurance Policy? Lisa Page Sues FBI, DOJ For ""Unlawful"" Disclosure Of Strozk Texts https://t.co/0nqyroM0jD",neutral,negative,negation;sarcasm_irony;entity_confusion,negation
Finistral-7B-LoRA,OPEC Considers Oil Output Cut; Tesla Shuts Stores: Virus Update,neutral,positive,negation,negation
Finistral-7B-LoRA,Qatar Not in Talks Yet With U.A.E. Over Healing Rift,neutral,negative,negation,negation
Finistral-7B-LoRA,"The JEDI suit isn't about Star Wars.

Amazon is suing the Pentagon because it gave Microsoft a cloud computing cont… https://t.co/VAQytv4kJ3",neutral,negative,negation,negation
Finistral-7B-LoRA,"The U.S. reopening its market to Brazilian fresh beef is a matter of when, not if https://t.co/Jr2lcHzJOr",neutral,positive,negation;conditional_hedge,negation
Finistral-7B-LoRA,"Wall Street Has Plans for Newspapers, and They Aren't Pretty",neutral,negative,negation,negation
Finistral-7B-LoRA,Will the yen see a decline in popularity as more countries enter zero-rate territory? Insights via @CMEGroup https://t.co/zPR2qSO8Pq,neutral,negative,negation,negation
Finistral-7B-LoRA,$INFY: Infosys to acquire cloud solutions company Simplus; terms not disclosed https://t.co/yYMwyRYblI,neutral,positive,negation;numeric_guidance,negation
Finistral-7B-LoRA,"Edgewell Personal Care, which owns Schick, said it is no longer pursuing the $1.4 billion deal to buy Harry's Razor… https://t.co/P3wTZL4p3t",neutral,negative,negation;numeric_guidance,negation
Finistral-7B-LoRA,Britain seeking far-reaching tariff cuts in post Brexit U.S. trade deal,neutral,positive,negation,negation
Finistral-7B-LoRA,China's mutant pigs could help save the nation from a pork apocalypse. That's if the U.S. doesn't create super swin… https://t.co/wcwdQAmpK4,neutral,positive,negation;conditional_hedge,negation
Finistral-7B-LoRA,Greenhouse gas emissions in the U.S. are forecast to decline by a whopping 7.5% this year https://t.co/MjBXKkouHy,neutral,positive,negation;numeric_guidance,negation
Finistral-7B-LoRA,New Zealand's resurgent housing market could get a rate-cut boost https://t.co/OMD3CqZ03T,neutral,positive,negation;conditional_hedge,negation
Finistral-7B-LoRA,"Stocks Rally, Oil Drops at Start of Challenging Week #SP500 #index #MarketScreener https://t.co/zvaSvRqcdt https://t.co/Pw0UVqFuo3",neutral,positive,negation,negation
Finistral-7B-LoRA,Canada rail workers’ strike tests weakened Trudeau https://t.co/158wnVBdda,neutral,negative,negation;sarcasm_irony,negation
Finistral-7B-LoRA,"Trump budget would cut loan program used by Tesla, Ford https://t.co/7MnkFWUnrp",neutral,negative,negation;conditional_hedge,negation
Finistral-7B-LoRA,Hong Kong ETF May Not Turn Around Anytime Soon,neutral,negative,negation;conditional_hedge,negation
Finistral-7B-LoRA,How Much Have Harley-Davidson’s Shipments Fallen Since 2014?,neutral,negative,negation;numeric_guidance;sarcasm_irony,negation
Finistral-7B-LoRA,Imagine Owning Apex Global Brands (NASDAQ:APEX) And Taking A 98% Loss Square On The Chin,neutral,negative,negation;numeric_guidance,negation
Finistral-7B-LoRA,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,positive,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",positive,negative,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,$SPY bull move ended waiting for next setup,negative,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$KCG bot at 2.24,positive,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive,neutral,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,$PRGN A bottom right here?,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,negative,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,GKN to buy Fokker Technologies for 706 mln euros,positive,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Locked in some $FB puts for nice gain,negative,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Highlight: Edward Jones Sr. Equity Analyst Jennifer Roland on ExxonMobil reducing 2020 Capex by 30%: “Definitely a… https://t.co/dH0xlJujc1,positive,negative,numeric_guidance;sarcasm_irony,numeric_guidance
Finistral-7B-LoRA,Analysts Expect Breakeven For China Online Education Group (NYSE:COE),neutral,positive,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,Bank agencies announced they'll temporarily lower the community bank leverage ratio to 8%. The rule change - requir… https://t.co/m6N7S7zEwo,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Spain to guarantee up to 80% of SME bank loans to ease virus impact #economy #MarketScreener https://t.co/SAmTS65y1z https://t.co/JFT2FzyZVp,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$CVX - Chevron ramps output at key Venezuela oil project as U.S. weighs sanctions https://t.co/o4g9WuvJfo,positive,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$AUDC: AudioCodes enters into royalty buyout agreement with the Israel National Authority for Technology and... https://t.co/YVzJTV68bn,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$EQNR $SU - Siccar Point attracts bids as high as nearly $2B - Reuters https://t.co/CMSO3XjoN1,neutral,positive,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,$INTI - Inhibitor Therapeutics to start prostate cancer treatment trial https://t.co/hKmHpHCXGJ,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$ITRN - Margins suffer at Ituran Location in Q3 https://t.co/cCI94Csl3s,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$LJPC (halted pre) La Jolla Pharmaceutical (LJPC) to Reassess Continued Development of LJPC-401 Based on Recent Mix… https://t.co/8wDkULKz7f,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$MDGL - Madrigal launches 1.2M-share stock offering by current investor https://t.co/V3c2xhnDBB,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$REGN: Regeneron Pharma and Sanofi (SNY) restructure Kevzara and Paluent agreement https://t.co/PH1vNcbN28,neutral,positive,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,$XON: Intrexon to achieve $175 mln cash goal; appoints Helen Sabzevari as New President and CEO; will change name t… https://t.co/1Yt9sU0plb,neutral,positive,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,"3M is exploring a sale of its drug delivery systems unit, which could fetch about $1 billion https://t.co/ISlbwO3FCd",neutral,positive,numeric_guidance;conditional_hedge,numeric_guidance
Finistral-7B-LoRA,Alibaba on track to raise $12.9 billion in Hong Kong listing - CNN,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Alibaba share sale for $13.B Hong Kong listing oversubscribed,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Auto Expo 2020: JBM To Invest Rs 500 Crore In Electric Bus Business,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Balance Point already near goal for new fundraise, just a year after $380m Fund III close",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Berenberg expects higher offer for LogMeIn,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Boeing announces additional order for 737 MAX planes,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Boeing gets 10 additional orders for 737 MAX 8 planes valued at $1.2 billion from SunExpress,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Brookfield Asset Management closes $20B infrastructure fund,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,CAE : completes upgrades of CT-156 and CT-155 FTDs for NFTC program at 15 Wing Moose Jaw #CAE #Stock… https://t.co/QtvyZaPnzE,neutral,positive,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,Cambridge Cognition : expands eCOA offering and wins contract with top 10 pharmaceutical c... #CambridgeCognition… https://t.co/KG7utY8LZm,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"CG Power Gets Shareholders Nod To Raise Rs 5,000 Crore",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Crunch talks lead to Emirates order for 30 Boeing Dreamliners,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Emirates orders 30 Boeing 787 Dreamliners,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Germany's Condor sets ambitious margin target to court buyers https://t.co/COG93noQDO https://t.co/uTis2d6Fix,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,GM and South Korea’s LG Chem set $2.3 billion electric-vehicle-battery venture in Ohio. The joint venture is expect… https://t.co/px1loY3FYe,neutral,positive,numeric_guidance;sarcasm_irony;entity_confusion,numeric_guidance
Finistral-7B-LoRA,Hedge fund Two Sigma builds private equity power with $1.2bn debut Sightway Capital fund close,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Marubeni : 10 Year Extension of Production Sharing Contract for Ravva Oil and Gas Field in... #Marubeni #Stock… https://t.co/4lYEQ2SMIF,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Morgan Stanley pushes advisers to boost revenue in 2020 pay plan -sources,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Netflix : Says 26.4 Million Users Watched 'The Irishman' in First Week #Netflix #Stock #MarketScreener… https://t.co/sSRSMs74uw,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"New investment by Carlyle, others values American Express Global Business Travel at $5 billion--WSJ",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Next: Charles Amerischwab pays clients to trade on its platform, crushes E-Trade stock and then buys it 80% off.",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Nike's Vaporfly running sneakers to be allowed in 2020 Olympics https://t.co/zokAlame0K,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,NYC pension leader targets three utilities over emissions plans,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,REGO Restaurant Group Inks 20-store Development Deal for Quiznos Expansion into Latin America,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Respimat® re-usable inhaler wins 2020 Pharmapack Eco-Design Award,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Semafo to restart mining at its Boungou in Q4; provides 2020 outlook,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Struggling British luxury carmaker Aston Martin aims to rustle up a $650 million capital boost, led by Canadian bil... https://t.co/tpgeI6vmuo",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,The latest marker of Chinese interest in African fintech is a $120 million funding round for OPay,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Uber's arrival caused binge drinking to increase up to 21.8% and a possible decrease in drunk driving. Here's a lo… https://t.co/4h7tuhLp1B,neutral,positive,numeric_guidance;conditional_hedge,numeric_guidance
Finistral-7B-LoRA,UPDATE 2-Crunch talks lead to Emirates order for 30 Boeing Dreamliners,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"VTEX, an e-commerce platform used by Walmart, raises $140M led by SoftBank's LatAm fund https://t.co/UJ2s2wUYPD via… https://t.co/sATiJD3uQM",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Press release: cyber attack - update January 31, 2020 #Picanol #Stock #MarketScreener https://t.co/AXwQmrRC3G https://t.co/e4KSKzdmA9",negative,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,10Y Yield LOD 1.7620%,negative,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,30-year Treasury yield plumbs key 2% support level https://t.co/g1AUTKwOCb,negative,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$ITHUF - iAnthus Defaults On Debt: What Comes Next?. https://t.co/3Tb0wenS3x #investing #economy #finance,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,8x8 -2.9% on $75M convertible note issue,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"A group of investors agreed to a tentative plan to reduce Puerto Rico's debt by about 40%, a key hurdle in its reco… https://t.co/KZK55OaEmp",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,B. Riley offers $50M of senior notes,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,B. Riley prices upsized $115M offering of notes,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,.@BruceKamich digs into Palo Alto $PANW charts ahead of earnings:   https://t.co/9bh2ztu5Yv,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,How Driller Helmerich & Payne Scored a Q1 2020 Earnings Beat,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$UNG $WMB $XLE - U.S. oil firms vented or flared record amount of gas in 2018 https://t.co/JxF5CcvNyo,positive,negative,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,Crude Oil Price Forecast – Could Oil Markets Take A Hit,neutral,negative,numeric_guidance;conditional_hedge,numeric_guidance
Finistral-7B-LoRA,Oil Price Fundamental Daily Forecast – Lack of Details Over Trade Deal Progress Capping Prices,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,$UNG $DGAZ $UGAZ - Natural gas inventory draw in-line with estimates https://t.co/bdJKXSH7Ye,neutral,positive,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,Ecuador awards 20.2 mln barrel oil supply contract to Shell unit #economy #MarketScreener https://t.co/f9C9uAR7lG https://t.co/KrI5G5eZJO,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Target Hospitality Corp. Just Missed EPS By 34%: Here's What Analysts Think Will Happen Next,negative,neutral,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,"Domtar EPS misses by $0.05,  revenue in-line",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Philip Morris profit and sales top estimates but tobacco company offers soft guidance,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Twin River Worldwide Holdings, Inc. Just Missed EPS By 44%: Here's What Analysts Think Will Happen Next",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,U.S. Dollar Index Futures (DX) Technical Analysis – Looking for Break into Retracement Zone at 97.630 to 97.472,negative,neutral,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,USD/JPY Forecast: USD to Consolidate Against JPY - DailyForex.com,positive,neutral,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,USD/JPY Weekly Price Forecast – Dollar Continues To Test Resistance,positive,neutral,numeric_guidance;entity_confusion,numeric_guidance
Finistral-7B-LoRA,"$BA - Boeing plane skids off runway in Istanbul, killing one passenger https://t.co/IBHUB8yLOO",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"A couple claims a 500-pound, $280-million emerald was destroyed when their house burned down in California's worst-… https://t.co/jJFqUHN5qr",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"As Illinois Legalizes Marijuana, Cook County Prosecutor Vacates Over 1,000 Low-Level Cannabis Convictions",neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"EY has put 100 jobs in its financial consulting unit at risk of redundancy
https://t.co/d63wR7xMfR",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Foroohar: 2020 Election Poses Risk To Silicon Valley Tech Giants. Get more updates here: https://t.co/9UzZfKJoGd #business #finance #economy,neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"Japan Post Probe Finds 9,000 Cases of Missold Insurance: Yomiuri",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Marvel Comics 1 torches record with $1.26M sale at auction https://t.co/ZCIXTnGfPG via @FoxBusiness https://t.co/09Sj0PfU9H,neutral,positive,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,"More than 140,000 people died from measles last year, according to new estimates from the World Health Organization… https://t.co/hdvfswYuFA",neutral,negative,numeric_guidance,numeric_guidance
Finistral-7B-LoRA,Mountain America’s Free Adoption Event Saves Over 160 Pets at the Humane Society of Utah  https://t.co/SAkC0zncke,neutral,positive,numeric_guidance;sarcasm_irony,numeric_guidance
Finistral-7B-LoRA,NBC’s Today Co-anchors Savannah Guthrie and Hoda Kotb to Be Honored at 2020 Outstanding Mother Awards,neutral,positive,numeric_guidance;sarcasm_irony;entity_confusion,numeric_guidance
Finistral-7B-LoRA,New for subscribers:  This mutual fund returned over 400% last decade. Here are the stocks it's betting on now... https://t.co/8H17ZdXvNJ,neutral,positive,numeric_guidance,numeric_guidance
